FYERS_Symbol,NSE_Symbol,Company_Name,Industry,Last_Price,Volume,Change_Percent,fyToken
NSE:RELIANCE-EQ,RELIANCE,RELIANCE,N/A,1450.8,8277304,0.51,10100000002885
NSE:TCS-EQ,TCS,TCS,N/A,2941.6,4687389,-1.67,101000000011536
NSE:HDFCBANK-EQ,HDFCBANK,HDFCBANK,N/A,941.1,18120272,-0.91,10100000001333
NSE:BHARTIARTL-EQ,BHARTIARTL,BHARTIARTL,N/A,2038.4,13870403,2.31,101000000010604
NSE:ICICIBANK-EQ,ICICIBANK,ICICIBANK,N/A,1406.1,10851190,0.69,10100000004963
NSE:SBIN-EQ,SBIN,SBIN,N/A,1066.4,7041557,-0.66,10100000003045
NSE:INFY-EQ,INFY,INFY,N/A,1507.1,13900866,-0.86,10100000001594
NSE:LT-EQ,LT,LT,N/A,4068.1,1630836,0.12,101000000011483
NSE:ITC-EQ,ITC,ITC,N/A,325.8,68057745,5.03,10100000001660
NSE:KOTAKBANK-EQ,KOTAKBANK,KOTAKBANK,N/A,422.35,21228778,3.33,10100000001922
NSE:HINDUNILVR-EQ,HINDUNILVR,HINDUNILVR,N/A,2424.2,1421995,2.96,10100000001394
NSE:BAJFINANCE-EQ,BAJFINANCE,BAJFINANCE,N/A,981.7,13742927,1.76,1010000000317
NSE:ASIANPAINT-EQ,ASIANPAINT,ASIANPAINT,N/A,2401.1,1043982,-1.27,1010000000236
NSE:MARUTI-EQ,MARUTI,MARUTI,N/A,14997.0,276529,-0.41,101000000010999
NSE:AXISBANK-EQ,AXISBANK,AXISBANK,N/A,1341.6,5876574,0.83,10100000005900
NSE:SUNPHARMA-EQ,SUNPHARMA,SUNPHARMA,N/A,1695.1,1277116,-0.44,10100000003351
NSE:ULTRACEMCO-EQ,ULTRACEMCO,ULTRACEMCO,N/A,12722.0,124704,-0.4,101000000011532
NSE:TITAN-EQ,TITAN,TITAN,N/A,4141.0,888701,1.06,10100000003506
NSE:WIPRO-EQ,WIPRO,WIPRO,N/A,230.72,12279085,-1.14,10100000003787
NSE:NESTLEIND-EQ,NESTLEIND,NESTLEIND,N/A,1303.3,835646,-0.02,101000000017963
NSE:M&M-EQ,M&M,M&M,N/A,3578.0,1462031,0.17,10100000002031
NSE:POWERGRID-EQ,POWERGRID,POWERGRID,N/A,292.75,19951107,1.18,101000000014977
NSE:NTPC-EQ,NTPC,NTPC,N/A,365.05,7328789,-0.53,101000000011630
NSE:BAJAJFINSV-EQ,BAJAJFINSV,BAJAJFINSV,N/A,2024.2,1257237,1.2,101000000016675
NSE:TECHM-EQ,TECHM,TECHM,N/A,1619.9,1988639,-1.6,101000000013538
NSE:HCLTECH-EQ,HCLTECH,HCLTECH,N/A,1593.7,3342992,-1.01,10100000007229
NSE:ONGC-EQ,ONGC,ONGC,N/A,268.95,10013728,-0.09,10100000002475
NSE:TATASTEEL-EQ,TATASTEEL,TATASTEEL,N/A,197.06,18446912,-0.35,10100000003499
NSE:ADANIENT-EQ,ADANIENT,ADANIENT,N/A,2226.4,933650,-0.46,101000000025
NSE:COALINDIA-EQ,COALINDIA,COALINDIA,N/A,432.8,4738027,0.22,101000000020374
NSE:BRITANNIA-EQ,BRITANNIA,BRITANNIA,N/A,5911.0,186858,0.69,1010000000547
NSE:CIPLA-EQ,CIPLA,CIPLA,N/A,1330.0,1457970,-0.25,1010000000694
NSE:DIVISLAB-EQ,DIVISLAB,DIVISLAB,N/A,6024.5,433945,-1.91,101000000010940
NSE:EICHERMOT-EQ,EICHERMOT,EICHERMOT,N/A,7177.5,251800,-0.44,1010000000910
NSE:GRASIM-EQ,GRASIM,GRASIM,N/A,2836.9,361882,-0.94,10100000001232
NSE:HINDALCO-EQ,HINDALCO,HINDALCO,N/A,942.55,3830296,0.76,10100000001363
